"文件","来源类别","页面来源","图片直链","采集日期","内容标签","版本说明"
"01_官方/droidhen_官网_Defender-II横幅.jpg","官方","https://www.droidhen.com/games.html","https://www.droidhen.com/images/Defender_2.jpg","2026-09-01","品牌横幅;城堡;龙;熔岩","DroidHen 官网当前素材"
"01_官方/google-play_01_主菜单.png","官方","https://play.google.com/store/apps/details?id=com.droidhen.defender2","https://play-lh.googleusercontent.com/YruO6Rx4ovRPgiKLD7QEHnbFKzps0uZ0BZEnpEZklhleWUNPUjx7eumFeNmL50wQkbFANTq9hgmbzhJ8CciO=w1052-h592","2026-09-01","主菜单;标题画面","Google Play 当前商店图"
"01_官方/google-play_02_Battle双人HUD.png","官方","https://play.google.com/store/apps/details?id=com.droidhen.defender2","https://play-lh.googleusercontent.com/KmlUvUHZzh9R_w_GaqzBkHEEY94MwoaA2wLKqWPwHqqOnviLwKVX_NZQRJHnHf8yRknzvZK-MUdQHZZTe_F-2w=w1052-h592","2026-09-01","Battle;双人HUD;熔岩沟;魔法塔","Google Play 当前商店图"
"01_官方/google-play_03_火系技能.png","官方","https://play.google.com/store/apps/details?id=com.droidhen.defender2","https://play-lh.googleusercontent.com/Xvak7nINViq7GHUVVc3cloNblwrKBQE8-hzJlBsjOoziXALWVbKLpO2uK8nJImtzylOvKl122NcN888yPmt1LXs=w1052-h592","2026-09-01","战斗HUD;火系技能;Boss;怪群","Google Play 当前商店图"
"01_官方/google-play_04_雷系技能.png","官方","https://play.google.com/store/apps/details?id=com.droidhen.defender2","https://play-lh.googleusercontent.com/_APMAMVsUUbHnQRn-GdULmqsUiTpSMDOo8jktGlm-IQmQpyQG6npO04gisRTg7f85sVCbg7PmAKjUit5w-hB=w1052-h592","2026-09-01","战斗HUD;雷系技能;怪群","Google Play 当前商店图"
"01_官方/google-play_05_冰系技能.png","官方","https://play.google.com/store/apps/details?id=com.droidhen.defender2","https://play-lh.googleusercontent.com/Bxx1ChClzqk9IMTHeSuudo-yZ3qxf-XPaRy9sJ7nd3hMwkzS1wOBf0blBUr70eZ2sU5OqF6K_bjpkhRmzZ8x5xg=w1052-h592","2026-09-01","战斗HUD;冰系技能;冻结;怪群","Google Play 当前商店图"
"01_官方/app-store_01_主菜单.webp","官方","https://apps.apple.com/us/app/defender-ii/id550081851","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/8c/f1/f0/8cf1f045-4114-07a6-d60e-2360edd0eaa9/MuMu-20260512-171210-026.png/1286x594bb.webp","2026-09-01","主菜单;标题画面;宽裁切","App Store 当前商店图"
"01_官方/app-store_02_Battle双人HUD.webp","官方","https://apps.apple.com/us/app/defender-ii/id550081851","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/3a/9a/ee/3a9aee37-afb0-17fe-083f-20917f2afe5c/MuMu-20260512-171305-523.png/1286x594bb.webp","2026-09-01","Battle;双人HUD;熔岩沟;宽裁切","App Store 当前商店图"
"01_官方/app-store_03_雷系技能.webp","官方","https://apps.apple.com/us/app/defender-ii/id550081851","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/bd/dd/5c/bddd5c44-064d-b6a0-28bf-f8bbf7e08fef/MuMu-20260512-171244-900.png/1286x594bb.webp","2026-09-01","战斗HUD;雷系技能;宽裁切","App Store 当前商店图"
"01_官方/app-store_04_火系技能.webp","官方","https://apps.apple.com/us/app/defender-ii/id550081851","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/23/04/86/230486c5-c014-d8db-b0e4-eec97c75a9fe/MuMu-20260512-171228-240.png/1286x594bb.webp","2026-09-01","战斗HUD;火系技能;宽裁切","App Store 当前商店图"
"02_社区论坛/taptap_2020-06-04_高阶段完成.jpg","玩家论坛","https://www.taptap.cn/moment/17788275171264966?group_id=29100","https://img2-tc.tapimg.com/bbcode/images/3c25b42829ad08167f2ab97fb489cdf7.jpg/_tap_ugc.jpg","2026-09-01","Status;Stage 1010;Battle胜负统计;玩家等级","TapTap 玩家于 2020-06-04 分享"
"02_社区论坛/taptap_2024-07-01_自动战斗.jpg","玩家论坛","https://www.taptap.cn/moment/556886625754286863?group_id=29100","https://img2-tc.tapimg.com/moment/etag/FvQ2G0fKLII9EM_SQ_A2W5txmN9T.jpg/_tap_ugc.jpg","2026-09-01","战斗HUD;高资源档案;自动战斗情境","TapTap 玩家于 2024-07-01 分享"
